2026-06-12 20:26:42 - 服务器启动，监听端口 8888
2026-06-12 20:31:51 - 服务器启动，监听端口 8888
2026-06-12 20:33:38 - 服务器启动，监听端口 8888
2026-06-12 20:33:50 - 新连接来自 ('127.0.0.1', 49615)
2026-06-12 20:33:50 - 收到 Initialization: N=4
2026-06-12 20:33:50 - 发送 Agree 报文
2026-06-12 20:33:50 - 处理第1块: 原长度=30, 反转后长度=30
2026-06-12 20:33:50 - 处理第2块: 原长度=13, 反转后长度=13
2026-06-12 20:33:50 - 处理第3块: 原长度=10, 反转后长度=10
2026-06-12 20:33:50 - 处理第4块: 原长度=27, 反转后长度=27
2026-06-12 20:33:50 - 断开连接 ('127.0.0.1', 49615)
2026-06-12 21:01:35 - 服务器启动，监听端口 8888
2026-06-12 21:02:00 - 新连接来自 ('127.0.0.1', 61696)
2026-06-12 21:02:00 - 收到 Initialization: N=4
2026-06-12 21:02:00 - 发送 Agree 报文
2026-06-12 21:02:00 - 处理第1块: 原长度=30, 反转后长度=30
2026-06-12 21:02:00 - 处理第2块: 原长度=13, 反转后长度=13
2026-06-12 21:02:00 - 处理第3块: 原长度=10, 反转后长度=10
2026-06-12 21:02:00 - 处理第4块: 原长度=27, 反转后长度=27
2026-06-12 21:02:00 - 断开连接 ('127.0.0.1', 61696)
2026-06-12 21:05:21 - 服务器启动，监听端口 8888
2026-06-12 21:05:38 - 新连接来自 ('127.0.0.1', 61742)
2026-06-12 21:05:38 - 收到 Initialization: N=4
2026-06-12 21:05:38 - 发送 Agree 报文
2026-06-12 21:05:38 - 处理第1块: 原长度=30, 反转后长度=30
2026-06-12 21:05:38 - 处理第2块: 原长度=13, 反转后长度=13
2026-06-12 21:05:38 - 处理第3块: 原长度=10, 反转后长度=10
2026-06-12 21:05:38 - 处理第4块: 原长度=27, 反转后长度=27
2026-06-12 21:05:38 - 断开连接 ('127.0.0.1', 61742)
2026-06-12 21:16:00 - 服务器启动，监听端口 8888
2026-06-12 21:16:10 - 新连接来自 ('127.0.0.1', 58593)
2026-06-12 21:16:10 - 收到 Initialization: N=4
2026-06-12 21:16:10 - 发送 Agree 报文
2026-06-12 21:16:10 - 处理第1块: 原长度=30, 反转后长度=30
2026-06-12 21:16:10 - 处理第2块: 原长度=13, 反转后长度=13
2026-06-12 21:16:10 - 处理第3块: 原长度=10, 反转后长度=10
2026-06-12 21:16:10 - 处理第4块: 原长度=27, 反转后长度=27
2026-06-12 21:16:10 - 断开连接 ('127.0.0.1', 58593)
2026-06-12 21:16:53 - 新连接来自 ('127.0.0.1', 58775)
2026-06-12 21:16:53 - 收到 Initialization: N=4
2026-06-12 21:16:53 - 发送 Agree 报文
2026-06-12 21:16:53 - 处理第1块: 原长度=30, 反转后长度=30
2026-06-12 21:16:53 - 处理第2块: 原长度=13, 反转后长度=13
2026-06-12 21:16:53 - 处理第3块: 原长度=10, 反转后长度=10
2026-06-12 21:16:53 - 处理第4块: 原长度=27, 反转后长度=27
2026-06-12 21:16:53 - 断开连接 ('127.0.0.1', 58775)
2026-06-12 21:29:50 - 服务器启动，监听端口 8888
2026-06-12 21:30:05 - 新连接来自 ('127.0.0.1', 65296)
2026-06-12 21:30:05 - 收到 Initialization: N=4
2026-06-12 21:30:05 - 发送 Agree 报文
2026-06-12 21:30:05 - 处理第1块: 原长度=30, 反转后长度=30
2026-06-12 21:30:05 - 处理第2块: 原长度=13, 反转后长度=13
2026-06-12 21:30:05 - 处理第3块: 原长度=10, 反转后长度=10
2026-06-12 21:30:05 - 处理第4块: 原长度=27, 反转后长度=27
2026-06-12 21:30:05 - 断开连接 ('127.0.0.1', 65296)
2026-06-12 21:54:29 - 新连接来自 ('127.0.0.1', 58585)
2026-06-12 21:54:29 - 收到 Initialization: N=4
2026-06-12 21:54:29 - 发送 Agree 报文
2026-06-12 21:54:29 - 处理第1块: 原长度=30, 反转后长度=30
2026-06-12 21:54:29 - 处理第2块: 原长度=13, 反转后长度=13
2026-06-12 21:54:29 - 处理第3块: 原长度=10, 反转后长度=10
2026-06-12 21:54:29 - 处理第4块: 原长度=27, 反转后长度=27
2026-06-12 21:54:29 - 断开连接 ('127.0.0.1', 58585)
